season,year,ONI,phase
DJF,1950,-1.53,La Nina
JFM,1950,-1.34,La Nina
FMA,1950,-1.16,La Nina
MAM,1950,-1.18,La Nina
AMJ,1950,-1.07,La Nina
MJJ,1950,-0.85,La Nina
JJA,1950,-0.54,La Nina
JAS,1950,-0.42,Neutral
ASO,1950,-0.39,Neutral
SON,1950,-0.44,Neutral
OND,1950,-0.6,La Nina
NDJ,1950,-0.8,La Nina
DJF,1951,-0.82,La Nina
JFM,1951,-0.54,La Nina
FMA,1951,-0.17,Neutral
MAM,1951,0.18,Neutral
AMJ,1951,0.36,Neutral
MJJ,1951,0.58,Weak El Nino
JJA,1951,0.7,Weak El Nino
JAS,1951,0.89,Weak El Nino
ASO,1951,0.99,Weak El Nino
SON,1951,1.15,Moderate El Nino
OND,1951,1.04,Moderate El Nino
NDJ,1951,0.81,Weak El Nino
DJF,1952,0.53,Weak El Nino
JFM,1952,0.37,Neutral
FMA,1952,0.34,Neutral
MAM,1952,0.29,Neutral
AMJ,1952,0.2,Neutral
MJJ,1952,0.0,Neutral
JJA,1952,-0.08,Neutral
JAS,1952,0.0,Neutral
ASO,1952,0.15,Neutral
SON,1952,0.1,Neutral
OND,1952,0.04,Neutral
NDJ,1952,0.15,Neutral
DJF,1953,0.4,Neutral
JFM,1953,0.6,Weak El Nino
FMA,1953,0.63,Weak El Nino
MAM,1953,0.66,Weak El Nino
AMJ,1953,0.75,Weak El Nino
MJJ,1953,0.77,Weak El Nino
JJA,1953,0.75,Weak El Nino
JAS,1953,0.73,Weak El Nino
ASO,1953,0.78,Weak El Nino
SON,1953,0.84,Weak El Nino
OND,1953,0.84,Weak El Nino
NDJ,1953,0.81,Weak El Nino
DJF,1954,0.76,Weak El Nino
JFM,1954,0.47,Neutral
FMA,1954,-0.05,Neutral
MAM,1954,-0.41,Neutral
AMJ,1954,-0.54,La Nina
MJJ,1954,-0.5,La Nina
JJA,1954,-0.64,La Nina
JAS,1954,-0.84,La Nina
ASO,1954,-0.9,La Nina
SON,1954,-0.77,La Nina
OND,1954,-0.73,La Nina
NDJ,1954,-0.66,La Nina
DJF,1955,-0.68,La Nina
JFM,1955,-0.62,La Nina
FMA,1955,-0.69,La Nina
MAM,1955,-0.8,La Nina
AMJ,1955,-0.79,La Nina
MJJ,1955,-0.72,La Nina
JJA,1955,-0.68,La Nina
JAS,1955,-0.75,La Nina
ASO,1955,-1.09,La Nina
SON,1955,-1.42,La Nina
OND,1955,-1.67,La Nina
NDJ,1955,-1.47,La Nina
DJF,1956,-1.11,La Nina
JFM,1956,-0.76,La Nina
FMA,1956,-0.63,La Nina
MAM,1956,-0.54,La Nina
AMJ,1956,-0.52,La Nina
MJJ,1956,-0.51,La Nina
JJA,1956,-0.57,La Nina
JAS,1956,-0.55,La Nina
ASO,1956,-0.46,Neutral
SON,1956,-0.42,Neutral
OND,1956,-0.43,Neutral
NDJ,1956,-0.43,Neutral
DJF,1957,-0.25,Neutral
JFM,1957,0.06,Neutral
FMA,1957,0.41,Neutral
MAM,1957,0.72,Weak El Nino
AMJ,1957,0.92,Weak El Nino
MJJ,1957,1.11,Moderate El Nino
JJA,1957,1.25,Moderate El Nino
JAS,1957,1.32,Moderate El Nino
ASO,1957,1.33,Moderate El Nino
SON,1957,1.39,Moderate El Nino
OND,1957,1.53,Strong El Nino
NDJ,1957,1.74,Strong El Nino
DJF,1958,1.81,Strong El Nino
JFM,1958,1.66,Strong El Nino
FMA,1958,1.27,Moderate El Nino
MAM,1958,0.93,Weak El Nino
AMJ,1958,0.74,Weak El Nino
MJJ,1958,0.64,Weak El Nino
JJA,1958,0.57,Weak El Nino
JAS,1958,0.43,Neutral
ASO,1958,0.39,Neutral
SON,1958,0.44,Neutral
OND,1958,0.5,Weak El Nino
NDJ,1958,0.61,Weak El Nino
DJF,1959,0.61,Weak El Nino
JFM,1959,0.62,Weak El Nino
FMA,1959,0.52,Weak El Nino
MAM,1959,0.33,Neutral
AMJ,1959,0.2,Neutral
MJJ,1959,-0.07,Neutral
JJA,1959,-0.18,Neutral
JAS,1959,-0.28,Neutral
ASO,1959,-0.09,Neutral
SON,1959,-0.03,Neutral
OND,1959,0.05,Neutral
NDJ,1959,-0.04,Neutral
DJF,1960,-0.1,Neutral
JFM,1960,-0.1,Neutral
FMA,1960,-0.07,Neutral
MAM,1960,0.03,Neutral
AMJ,1960,0.02,Neutral
MJJ,1960,0.03,Neutral
JJA,1960,0.13,Neutral
JAS,1960,0.24,Neutral
ASO,1960,0.27,Neutral
SON,1960,0.2,Neutral
OND,1960,0.12,Neutral
NDJ,1960,0.05,Neutral
DJF,1961,0.04,Neutral
JFM,1961,0.03,Neutral
FMA,1961,0.04,Neutral
MAM,1961,0.09,Neutral
AMJ,1961,0.23,Neutral
MJJ,1961,0.27,Neutral
JJA,1961,0.14,Neutral
JAS,1961,-0.13,Neutral
ASO,1961,-0.3,Neutral
SON,1961,-0.26,Neutral
OND,1961,-0.19,Neutral
NDJ,1961,-0.16,Neutral
DJF,1962,-0.24,Neutral
